release_id,country,year
5482558,Brazil,1978
153378,US,1999
6484114,Brazil,1984
3063887,Brazil,1988
4675996,Brazil,1984
34512307,Brazil,2025
2837286,Brazil,1985
708377,US,1976
2638227,Brazil,1973
35181346,Brazil,2025
2868359,Brazil,1978
4566191,Brazil,1985
3015122,Brazil,1980
6567726,Brazil,1987
31695398,Brazil,1973
326537,Brazil,1990
2286432,Canada,1978
421870,US,1980
3201929,Brazil,1990
2428379,Brazil,1977
34860737,Brazil,2025
4275146,US,1977
457276,US,1978
94532,US,1980
5254593,Brazil,1982
2488238,Brazil,1978
35442007,Brazil,2025
557964,Brazil,1985
6530420,Brazil,1979
2680905,US,1991
2884247,Brazil,1984
3757980,Brazil,1982
18566905,Brazil,1979
37197222,Brazil,2025
5822800,Brazil,1991
16414551,Brazil,0
873425,US,1973
557007,Brazil,1989
36238906,Brazil,2026
2864849,Brazil,1976
18536692,Brazil,1977
5600660,Brazil,1984
1638445,Brazil,1980
30597451,Brazil,0
27717348,Brazil,0
4155277,Brazil,1988
2406598,Brazil,1987
2466768,Brazil,1990
1883192,Brazil,1983
4770633,Brazil,1979
6917975,Brazil,1973
10639232,Brazil,1973
5528581,Brazil,1982
36619927,Brazil,2026
3707062,Brazil,1979
12057538,Brazil,1982
4882387,Brazil,1987
16206051,Brazil,1978
865849,Brazil,1982
739777,UK,1976
2665251,Brazil,0
12536449,Brazil,1979
4992359,Brazil,1987
15637922,Brazil,1977
12548560,Brazil,1992
3012850,Netherlands,1986
1464053,Brazil,1989
2686266,Brazil,1983
26284916,Brazil,1979
6784951,Brazil,1979
2359389,Brazil,1977
34607353,Brazil,2025
1696389,Brazil,1982
1375560,US,1976
16540851,Brazil,1974
7558591,Brazil,1959
779802,US,1972
1467087,US,1979
35371936,Brazil,2025
2007337,US,1983
2839717,Brazil,1979
3632878,Brazil,1977
7040190,Brazil,1985
25881277,US,2022
3549733,US,1971
34768091,Brazil,2025
7673745,Brazil,1987
10992295,Brazil,0
717306,US,1980
16465506,Brazil,0
11180494,Brazil,1993
1164596,Brazil,1981
3547218,Brazil,1983
6906346,Brazil,1979
2659170,Europe,1988
424481,US,1984
3355419,Brazil,1984
2778896,Brazil,1989
4538995,Brazil,1989
10019246,Brazil,1989
36570613,Brazil,2026
35700658,Brazil,2025
1719156,Brazil,1983
5476808,Brazil,1973
14508545,US,1974
2838497,Brazil,1986
255874,Brazil,1986
2698412,Brazil,1978
2669548,Brazil,1979
2580075,Brazil,1988
34334881,Brazil,0
8270177,Brazil,1984
506443,US,1972
3608764,Brazil,1993
365838,US,1973
9330823,US,2016
9693349,Brazil,1979
7131901,Brazil,1986
2680847,Brazil,1982
2382232,Brazil,1985
2388225,Brazil,1979
35814406,Brazil,2025
602721,Brazil,1974
35731924,Brazil,2025
1986220,US,0
9567533,Brazil,1980
11514999,Brazil,1989
24812033,Brazil,1972
12413161,Canada,1971
8562151,Brazil,1978
12486184,Brazil,1968
7547487,Brazil,1970
2240765,Brazil,1980
1670656,Brazil,1982
1892641,Brazil,1981
1361568,US,1980
8131475,Europe,2016
10406209,Brazil,1993
2665764,Brazil,1988
2665607,Brazil,0
3630532,Brazil,1990
2635366,Brazil,1983
7408083,Brazil,1979
20854702,Brazil,1978
6397520,Brazil,1984
5620693,US,1968
15584066,Brazil,1989
13988717,Brazil,1975
337636,US,1979
118664,UK,1989
2249988,Brazil,1988
675788,Brazil,1985
7989976,Brazil,1981
1585368,US,1975
14685056,Brazil,1986
12430504,Brazil,1980
11118731,Brazil,1989
497427,Brazil,1985
36683854,Brazil,2026
8825726,Brazil,2016
11131098,Brazil,1985
19239142,Brazil,1981
5003251,UK,1993
2664862,Brazil,1972
11341384,Brazil,1994
20141203,Brazil,1975
2386570,Brazil,1985
2250960,Brazil,1990
5812246,Brazil,1976
5178341,Brazil,1965
2543814,Brazil,1979
11829849,Brazil,1989
1361899,Brazil,1981
2863188,Brazil,1988
2897674,Brazil,1985
3046279,Brazil,1979
2750609,Brazil,1973
4257538,Brazil,1977
221276,Brazil,1978
3403356,Brazil,1978
4257641,Brazil,1982
558139,Brazil,1978
2589065,Brazil,1975
2809231,Brazil,1976
3055214,Brazil,1979
9504068,Brazil,1984
20706427,Brazil,1994
10730067,Brazil,1977
624849,Brazil,1988
1929627,Brazil,1994
15157705,Brazil,1995
1932210,Brazil,1991
10764276,Brazil,1984
2878655,Brazil,1982
7861004,Brazil,1989
2440167,Brazil,1989
1614989,Brazil,1989
1364064,Brazil,1982
23217800,Brazil,1989
2216599,Brazil,1989
2407203,Brazil,0
455051,Brazil,1980
1682407,Brazil,1977
1794215,Brazil,1983
19321081,Brazil,1977
6692418,Brazil,1976
2974300,Brazil,1976
557357,Brazil,1977
6520767,Brazil,1978
801360,Brazil,1979
6520599,Brazil,1977
3082802,Brazil,1971
2413837,Brazil,1991
3832155,Brazil,1982
1348063,Brazil,1986
2533013,Brazil,1979
10425667,Brazil,1977
2766134,Brazil,1984
9407009,Brazil,1992
2413935,Brazil,1986
2690919,Brazil,1986
4197988,Brazil,1986
7321156,Brazil,1976
5543958,Brazil,1980
31402985,Europe,1994
5543852,Brazil,1982
5743198,Brazil,1988
4267914,Brazil,1980
3050893,Brazil,1986
2491153,Brazil,1985
980226,Brazil,1994
32557386,Brazil,0
2693391,Brazil,1984
108884,Brazil,1986
3789842,Brazil,1987
2608515,Brazil,1969
2329098,Brazil,1972
